21	89
76	164
49	93
6	2
97	53
99	30
49	3
16	10
19	65
14	152
10	174
48	137
59	93
80	2
69	113
20	33
90	26
97	130
51	144
76	135
26	189
28	181
22	27
30	106
40	153
78	160
76	148
27	124
62	52
36	141
62	73
82	24
13	48
9	11
32	17
49	80
80	111
22	169
15	123
76	149
89	155
3	30
31	151
17	70
31	191
42	12
43	37
20	25
88	158
75	55
37	175
10	38
68	22
94	198
76	101
72	38
18	134
78	159
95	114
67	104
30	104
51	155
84	63
5	152
63	9
93	102
98	46
12	6
0	164
6	73
56	150
81	75
10	65
45	38
22	198
13	189
39	45
63	107
15	117
52	128
1	167
51	100
38	2
14	93
69	46
53	73
75	173
90	29
3	71
85	16
25	7
81	22
15	111
51	9
30	183
77	3
83	1
78	75
94	135
95	107
