32	77	131
77	22	131
45	45	168
27	45	199
89	37	172
6	48	185
15	57	132
5	0	125
97	71	101
6	44	129
29	53	175
25	64	101
44	35	136
82	58	104
71	65	173
45	7	139
7	91	188
63	10	132
71	71	165
69	8	158
7	15	135
37	65	196
28	22	106
82	98	104
57	72	115
42	40	178
61	11	163
49	68	118
88	56	184
40	84	157
71	84	184
22	86	136
51	88	199
47	35	148
38	31	167
17	44	183
92	91	102
95	99	180
27	99	133
77	94	106
66	35	179
8	38	178
10	69	192
52	86	134
15	25	180
81	79	166
52	81	111
25	59	176
1	59	100
43	40	160
99	71	162
89	25	157
96	35	181
35	6	191
97	68	171
51	45	189
93	47	180
38	27	126
83	58	141
65	80	124
84	74	109
19	41	186
29	19	188
28	68	197
61	1	155
96	78	168
75	96	149
59	26	168
27	15	103
85	67	107
23	5	155
93	37	123
90	52	113
57	38	190
13	74	162
