66	137	179	19
140	123	230	18
91	85	212	39
130	50	156	21
143	137	162	48
103	107	187	15
94	98	207	35
136	147	196	13
145	55	211	48
91	140	198	34
77	102	163	47
142	129	220	45
129	65	186	38
121	65	226	21
118	77	184	49
123	50	181	18
83	149	245	3
119	86	218	20
128	131	158	35
96	115	175	16
146	81	204	28
94	123	209	29
144	137	152	12
103	81	174	44
94	99	239	35
113	58	221	45
119	117	199	35
137	51	243	35
94	75	164	39
117	137	168	2
74	122	167	25
96	147	232	32
92	65	166	30
55	102	180	49
82	71	230	30
95	108	214	14
117	85	202	14
87	87	212	42
83	147	183	7
65	73	232	10
80	124	240	4
107	114	236	39
82	50	235	9
68	58	160	4
74	79	175	48
68	107	150	34
128	89	155	33
143	60	221	45
94	148	214	12
145	60	220	22
